prompt,old,new
"Gian Lorenzo Bernini, sculpture","Gian Lorenzo Bernini, sculpture",art
Elsa Beskow,Elsa Beskow,art
James Bidgood,James Bidgood,art
Szymon Biernacki,Szymon Biernacki,art
Albert Bierstadt,Albert Bierstadt,art
John T. Biggers,John T. Biggers,art
Enki Bilal,Enki Bilal,art
Ivan Bilibin,Ivan Bilibin,art
Butcher Billy,Butcher Billy,art
Ed Binkley,Ed Binkley,art
Elmer Bischoff,Elmer Bischoff,art
Simon Bisley,Simon Bisley,art
Robert Bissell,Robert Bissell,art
Mary Blair ,Mary Blair ,art
Antoine Blanchard,Antoine Blanchard,art
John Blanche,John Blanche,art
Tim Blandin,Tim Blandin,art
Neil Blevins,Neil Blevins,art
Umberto Boccioni,Umberto Boccioni,art
Brian Bolland,Brian Bolland,art
Chesley Bonestell,Chesley Bonestell,art
Olivier Bonhomme,Olivier Bonhomme,art
Franklin Booth,Franklin Booth,art
Matt Bors,Matt Bors,art
Hieronymus Bosch,Hieronymus Bosch,art
Sam Bosma,Sam Bosma,art
Ambrosius Bosschaert,Ambrosius Bosschaert,art
Johfra Bosschart,Johfra Bosschart,art
Botero,Botero,art
Sandro Botticelli,Sandro Botticelli,art
Francois Boucher,Francois Boucher,art
Charlie Bowater,Charlie Bowater,art
David Michael Bowers,David Michael Bowers,art
Frank Bowling,Frank Bowling,art
Thomas Shotter Boys,Thomas Shotter Boys,art
Noah Bradley,Noah Bradley,art
Frank Bramley,Frank Bramley,art
George B. Bridgman,George B. Bridgman,art
Austin Briggs,Austin Briggs,art
Romero Britto,Romero Britto,art
Glen Brogan,Glen Brogan,art
Gerald Brom,Gerald Brom,art
Edward Burne-Jones,Edward Burne-Jones,art
Jim Burns,Jim Burns,art
Gaston Bussiere,Gaston Bussiere,art
Arnold Böcklin,Arnold Böcklin,art
Francis Cadell,Francis Cadell,art
Paul Cadmus,Paul Cadmus,art
Clyde Caldwell,Clyde Caldwell,art
Fred Calleri,Fred Calleri,art
Charles Camoin,Charles Camoin,art
Colin Campbell Cooper,Colin Campbell Cooper,art
Pascal Campion,Pascal Campion,art
Milton Caniff,Milton Caniff,art
Pablo Carpio,Pablo Carpio,art
Michael Carson,Michael Carson,art
Santiago Caruso,Santiago Caruso,art
Didier Cassegrain,Didier Cassegrain,art
Alfred J. Casson,Alfred J. Casson,art
Paul Catherall,Paul Catherall,art
Clint Cearley,Clint Cearley,art
Agnes Cecile,Agnes Cecile,art
Marc Chagall,Marc Chagall,art
John Chamberlain,John Chamberlain,art
Jean Siméon Chardin,Jean Siméon Chardin,art
Travis Charest,Travis Charest,art
Pierre Puvis de Chavannes,Pierre Puvis de Chavannes,art
Hsiao Ron Cheng,Hsiao Ron Cheng,art
"Yanjun Cheng, iridescent","Yanjun Cheng, iridescent",art
Ivan Chermayeff,Ivan Chermayeff,art
Michael Cheval,Michael Cheval,art
"Sandra Chevrier, paper collage","Sandra Chevrier, paper collage",art
Frank Cho,Frank Cho,art
James C. Christensen,James C. Christensen,art
Cimabue,Cimabue,art
Mikalojus Ciurlionis,Mikalojus Ciurlionis,art
Harry Clarke,Harry Clarke,art
Henry Clive,Henry Clive,art
Becky Cloonan,Becky Cloonan,art
Ron Cobb,Ron Cobb,art
Alvin Langdon Coburn,Alvin Langdon Coburn,art
Chris Cold,Chris Cold,art
Charles Conder,Charles Conder,art
George Condo,George Condo,art
John Constable,John Constable,art
Yvonne Coomber,Yvonne Coomber,art
Richard Corben,Richard Corben,art
Paul Corfield,Paul Corfield,art
Jean-Baptiste Camille Corot,Jean-Baptiste Camille Corot,art
Shawn Coss,Shawn Coss,art
Francesco del Cossa,Francesco del Cossa,art
Walter Crane,Walter Crane,art
Guido Crepax,Guido Crepax,art
Gregory Crewdson,Gregory Crewdson,art
Debbie Criswell,Debbie Criswell,art
Njideka Akunyili Crosby,Njideka Akunyili Crosby,art
Henri-Edmond Cross,Henri-Edmond Cross,art
Nicolas de Crecy,Nicolas de Crecy,art
John Currin,John Currin,art
Paul Cezanne,Paul Cezanne,art
Leonardo da Vinci,Leonardo da Vinci,art
Steven DaLuz,Steven DaLuz,art
Pino Daeni,Pino Daeni,art
Louise Dahl-Wolfe,Louise Dahl-Wolfe,art
Farel Dalrymple,Farel Dalrymple,art
Henry Darger,Henry Darger,art
Geof Darrow,Geof Darrow,art
Honoré Daumier,Honoré Daumier,art
Jacques-Louis David,Jacques-Louis David,art
Jack Davis,Jack Davis,art
Marc Davis,Marc Davis,art
Craig Davison,Craig Davison,art
Jonas De Ro,Jonas De Ro,art
Kelly Sue DeConnick,Kelly Sue DeConnick,art
Michael DeForge,Michael DeForge,art
Edwin Deakin,Edwin Deakin,art
Edgar Degas,Edgar Degas,art
Robert Delaunay,Robert Delaunay,art
"Nicolas Delort, scratchboard illustration","Nicolas Delort, scratchboard illustration",art
Jean Delville,Jean Delville,art
Wim Delvoye,Wim Delvoye,art
Maurice Denis,Maurice Denis,art
Guy Denning,Guy Denning,art
Mike Deodato,Mike Deodato,art
Charles Maurice Detmold,Charles Maurice Detmold,art
Vincent Di Fate,Vincent Di Fate,art
Diane Dillon,Diane Dillon,art
Steve Ditko,Steve Ditko,art
Anna Dittmann,Anna Dittmann,art
Gustave Dore,Gustave Dore,art
David Downton,David Downton,art
Tim Doyle,Tim Doyle,art
David C. Driskell,David C. Driskell,art
Philippe Druillet,Philippe Druillet,art
Jean Dubuffet,Jean Dubuffet,art
Raymond Duchamp-Villon,Raymond Duchamp-Villon,art
Jonny Duddle,Jonny Duddle,art
Edmund Dulac,Edmund Dulac,art
Asher Brown Durand,Asher Brown Durand,art
Chris Dyer,Chris Dyer,art
Albrecht Durer (+ engraving),Albrecht Durer (+ engraving),art
Thomas Eakins,Thomas Eakins,art
Eyvind Earle,Eyvind Earle,art
Amy Earles,Amy Earles,art
Jeff Easley,Jeff Easley,art
Tristan Eaton,Tristan Eaton,art
Tyler Edlin,Tyler Edlin,art
Jason Edmiston,Jason Edmiston,art
William Eggleston,William Eggleston,art
Bob Eggleton,Bob Eggleton,art
Will Eisner,Will Eisner,art
El Greco,El Greco,art
Dean Ellis,Dean Ellis,art
Adam Elsheimer,Adam Elsheimer,art
Peter Elson,Peter Elson,art
Gil Elvgren,Gil Elvgren,art
Ed Emshwiller,Ed Emshwiller,art
Kilian Eng,Kilian Eng,art
Delphin Enjolras,Delphin Enjolras,art
Hans Erni,Hans Erni,art
Max Ernst,Max Ernst,art
Erté,Erté,art
M.C. Escher,M.C. Escher,art
Adrianus Eversen,Adrianus Eversen,art
Glenn Fabry,Glenn Fabry,art
Anton Fadeev,Anton Fadeev,art
Shepard Fairey,Shepard Fairey,art
Andy Fairhurst,Andy Fairhurst,art
John Philip Falter,John Philip Falter,art
Fang Lijun,Fang Lijun,art
Henri Fantin-Latour,Henri Fantin-Latour,art
Duncan Fegredo,Duncan Fegredo,art
Lyonel Feininger,Lyonel Feininger,art
Roberto Ferri,Roberto Ferri,art
Hugh Ferriss,Hugh Ferriss,art
Virgil Finlay,Virgil Finlay,art
Anato Finnstark,Anato Finnstark,art
Paul Gustav Fischer,Paul Gustav Fischer,art
Oskar Fischinger,Oskar Fischinger,art
Dan Flavin,Dan Flavin,art
Govert Flinck,Govert Flinck,art
Alex Russell Flint,Alex Russell Flint,art
Piotr Foksowicz,Piotr Foksowicz,art
Stanhope Forbes,Stanhope Forbes,art
Eleanor Fortescue Brickdale,Eleanor Fortescue Brickdale,art
Chris Foss,Chris Foss,art
Hal Foster,Hal Foster,art
Jon Foster,Jon Foster,art
Fra Angelico,Fra Angelico,art
Matt Fraction,Matt Fraction,art
Jean-Honoré Fragonard,Jean-Honoré Fragonard,art
Francesco Francavilla,Francesco Francavilla,art
Piero della Francesca,Piero della Francesca,art
Lisa Frank,Lisa Frank,art
Frank Frazetta,Frank Frazetta,art
Caspar David Friedrich,Caspar David Friedrich,art
Chris Friel,Chris Friel,art
Brian Froud,Brian Froud,art
Ando Fuchs,Ando Fuchs,art
Goro Fujita,Goro Fujita,art
Ellen Gallagher,Ellen Gallagher,art
Stephen Gammell,Stephen Gammell,art
Hope Gangloff,Hope Gangloff,art
Paul Gauguin,Paul Gauguin,art
Jeremy Geddes,Jeremy Geddes,art
Artemisia Gentileschi,Artemisia Gentileschi,art
Edwin Georgi,Edwin Georgi,art
Justin Gerard,Justin Gerard,art
Daniel F. Gerhartz,Daniel F. Gerhartz,art
Atey Ghailan,Atey Ghailan,art
Adrian Ghenie,Adrian Ghenie,art
Domenico Ghirlandaio,Domenico Ghirlandaio,art
Donato Giancola,Donato Giancola,art
Dave Gibbons,Dave Gibbons,art
Charles Dana Gibson,Charles Dana Gibson,art
Ralph Gibson,Ralph Gibson,art
HR Giger,HR Giger,art
James Gilleard,James Gilleard,art
Sam Gilliam,Sam Gilliam,art
William James Glackens,William James Glackens,art
Milton Glaser,Milton Glaser,art
Warwick Goble,Warwick Goble,art
Basil Gogos,Basil Gogos,art
Nan Goldin,Nan Goldin,art
Rob Gonsalves,Rob Gonsalves,art
Josan Gonzalez,Josan Gonzalez,art
Misha Gordin,Misha Gordin,art
Derek Gores,Derek Gores,art
Alessandro Gottardo,Alessandro Gottardo,art
J.J. Grandville,J.J. Grandville,art
Duncan Grant,Duncan Grant,art
Eugene Grasset,Eugene Grasset,art
Laurie Greasley,Laurie Greasley,art
Kate Greenaway,Kate Greenaway,art
Martin Grelle,Martin Grelle,art
Alex Grey,Alex Grey,art
Peter Gric,Peter Gric,art
Carne Griffiths,Carne Griffiths,art
Gris Grimly,Gris Grimly,art
Jordan Grimmer,Jordan Grimmer,art
John Atkinson Grimshaw,John Atkinson Grimshaw,art
Alex Gross,Alex Gross,art
Huang Guangjian,Huang Guangjian,art
Rebecca Guay,Rebecca Guay,art
Sam Guay,Sam Guay,art
Armand Guillaumin,Armand Guillaumin,art
Grégoire Guillemin,Grégoire Guillemin,art
Saskia Gutekunst,Saskia Gutekunst,art
Guweiz,Guweiz,art
Arthur Hacker,Arthur Hacker,art
Ernst Haeckel,Ernst Haeckel,art
Richard Hamilton,Richard Hamilton,art
Erin Hanson,Erin Hanson,art
Tomer Hanuka,Tomer Hanuka,art
David A. Hardy,David A. Hardy,art
Keith Haring,Keith Haring,art
Charley Harper,Charley Harper,art
Conor Harrington,Conor Harrington,art
John Harris,John Harris,art
Lawren Harris,Lawren Harris,art
Kawase Hasui,Kawase Hasui,art
Naoto Hattori,Naoto Hattori,art
Cornelis de Heem,Cornelis de Heem,art
Brent Heighton,Brent Heighton,art
Lowell Herrero,Lowell Herrero,art
F. Scott Hess,F. Scott Hess,art
Stephen Hickman,Stephen Hickman,art
Utagawa Hiroshige,Utagawa Hiroshige,art
Bryan Hitch,Bryan Hitch,art
Filip Hodas,Filip Hodas,art
Hokusai,Hokusai,art
Ambrosius Holbein,Ambrosius Holbein,art
Hans Holbein,Hans Holbein,art
Winslow Homer,Winslow Homer,art
Frank Hong,Frank Hong,art
Pieter de Hooch,Pieter de Hooch,art
Edward Hopper,Edward Hopper,art
Aaron Horkey,Aaron Horkey,art
Alex Horley,Alex Horley,art
Edward Atkinson Hornel,Edward Atkinson Hornel,art
John Howe,John Howe,art
John Hoyland,John Hoyland,art
Sebastien Hue,Sebastien Hue,art
Adam Hughes,Adam Hughes,art
Edward Robert Hughes,Edward Robert Hughes,art
George Hurrell,George Hurrell,art
Michael Hutter,Michael Hutter,art
Duy Huynh,Duy Huynh,art
Catherine Hyde,Catherine Hyde,art
Hannah Höch,Hannah Höch,art
Louis Icart,Louis Icart,art
Stuart Immonen,Stuart Immonen,art
Ismail Inceoglu,Ismail Inceoglu,art
Carmine Infantino,Carmine Infantino,art
Robert Ingpen,Robert Ingpen,art
Jean-Auguste-Dominique Ingres,Jean-Auguste-Dominique Ingres,art
Inoue Takehiko,Inoue Takehiko,art
Sui Ishida,Sui Ishida,art
Johannes Itten,Johannes Itten,art
Junji Ito,Junji Ito,art
Jorge Jacinto,Jorge Jacinto,art
Bill Jacklin,Bill Jacklin,art
Marcin Jakubowski,Marcin Jakubowski,art
Alexander Jansson,Alexander Jansson,art
Aaron Jasinski,Aaron Jasinski,art
James Jean,James Jean,art
Oliver Jeffers,Oliver Jeffers,art
Ellen Jewett,Ellen Jewett,art
Ruan Jia,Ruan Jia,art
Phil Jimenez,Phil Jimenez,art
Dorothy Johnstone,Dorothy Johnstone,art
Android Jones,Android Jones,art
Jeffrey Catherine Jones,Jeffrey Catherine Jones,art
"Loui Jover, ink on newspaper","Loui Jover, ink on newspaper",art
Jean Jullien,Jean Jullien,art
Mandy Jurgens,Mandy Jurgens,art
Joe Jusko,Joe Jusko,art
Shintaro Kago,Shintaro Kago,art
Hayv Kahraman,Hayv Kahraman,art
Michael William Kaluta,Michael William Kaluta,art
Wassily Kandinsky,Wassily Kandinsky,art
Wadim Kashin,Wadim Kashin,art
Alex Katz,Alex Katz,art
Audrey Kawasaki,Audrey Kawasaki,art
Glen Keane,Glen Keane,art
Kim Keever,Kim Keever,art
Andy Kehoe,Andy Kehoe,art
Ken Kelly,Ken Kelly,art
Kelly Freas,Kelly Freas,art
William Kentridge,William Kentridge,art
Brian Kesinger,Brian Kesinger,art
Jeremiah Ketner,Jeremiah Ketner,art
Anselm Kiefer,Anselm Kiefer,art
Sam Kieth,Sam Kieth,art
"Kim Jung Gi, monochromatic","Kim Jung Gi, monochromatic",art
Thomas Kinkade,Thomas Kinkade,art
Jack Kirby,Jack Kirby,art
Ernst Ludwig Kirchner,Ernst Ludwig Kirchner,art
Raphael Kirchner,Raphael Kirchner,art
Tatsuro Kiuchi,Tatsuro Kiuchi,art
Mati Klarwein,Mati Klarwein,art
Jon Klassen,Jon Klassen,art
Paul Klee,Paul Klee,art
Gustav Klimt,Gustav Klimt,art
Hilma af Klint,Hilma af Klint,art
Ferdinand Knab,Ferdinand Knab,art
Nick Knight,Nick Knight,art
Winifred Knights,Winifred Knights,art
Ayami Kojima,Ayami Kojima,art
Oskar Kokoschka,Oskar Kokoschka,art
Kathe Kollwitz,Kathe Kollwitz,art
Satoshi Kon,Satoshi Kon,art
Willem de Kooning,Willem de Kooning,art
"Jeff Koons, sculpture","Jeff Koons, sculpture",art
Ohara Koson,Ohara Koson,art
Bella Kotak,Bella Kotak,art
Ranganath Krishnamani,Ranganath Krishnamani,art
Germaine Krull,Germaine Krull,art
Alfred Kubin,Alfred Kubin,art
Maciej Kuciara,Maciej Kuciara,art
Utagawa Kunisada,Utagawa Kunisada,art
Harvey Kurtzman,Harvey Kurtzman,art
Yayoi Kusama,Yayoi Kusama,art
Michael Kutsche,Michael Kutsche,art
Ilya Kuvshinov,Ilya Kuvshinov,art
David LaChapelle,David LaChapelle,art
Raphael Lacoste,Raphael Lacoste,art
Mikko Lagerstedt,Mikko Lagerstedt,art
Fitz Henry Lane,Fitz Henry Lane,art
Abigail Larson,Abigail Larson,art
Gary Larson,Gary Larson,art
Carl Larsson,Carl Larsson,art
Maria Lassnig,Maria Lassnig,art
Don Lawrence,Don Lawrence,art
Bastien Lecouffe-Deharme,Bastien Lecouffe-Deharme,art
Alan Lee,Alan Lee,art
Jae Lee,Jae Lee,art
Jim Lee,Jim Lee,art
Paul Lehr,Paul Lehr,art
Jeff Lemire,Jeff Lemire,art
Aristarkh Lentulov,Aristarkh Lentulov,art
J.C. Leyendecker (+ art nouveau),J.C. Leyendecker (+ art nouveau),art
André Lhote,André Lhote,art
Roy Lichtenstein,Roy Lichtenstein,art
Rob Liefeld,Rob Liefeld,art
Richard Lindner,Richard Lindner,art
"Liniers, cartoon","Liniers, cartoon",art
Filippino Lippi,Filippino Lippi,art
Laurie Lipton,Laurie Lipton,art
Arthur Lismer,Arthur Lismer,art
Michal Lisowski,Michal Lisowski,art
Scott Listfield,Scott Listfield,art
Cory Loftis,Cory Loftis,art
Loish,Loish,art
Andrew Loomis,Andrew Loomis,art
Didier Lourenco,Didier Lourenco,art
H.P. Lovecraft,H.P. Lovecraft,art
Tom Lovell,Tom Lovell,art
Maximilien Luce,Maximilien Luce,art
Margaret MacDonald Mackintosh,Margaret MacDonald Mackintosh,art
Frances MacDonald McNair,Frances MacDonald McNair,art
Elizabeth MacNicol,Elizabeth MacNicol,art
Andrew Macara,Andrew Macara,art
August Macke,August Macke,art
Jim Mahfood,Jim Mahfood,art
Hans Makart,Hans Makart,art
Alex Maleew,Alex Maleew,art
Justin Maller,Justin Maller,art
Milo Manara,Milo Manara,art
Gregory Manchess,Gregory Manchess,art
Slawomir Maniak,Slawomir Maniak,art
Jeremy Mann,Jeremy Mann,art
Stan Manoukian,Stan Manoukian,art
Andrea Mantegna,Andrea Mantegna,art
Aldus Manutius,Aldus Manutius,art
Esteban Maroto,Esteban Maroto,art
Chris Mars,Chris Mars,art
John Martin,John Martin,art
Stephan Martiniere,Stephan Martiniere,art
Frans Masereel,Frans Masereel,art
